Review_name,Review_Content
Family visit over Christmas,"We visited Disneyland Paris wirh our toddler over Christmas 2018 and we all loved it.
It was very busy (as expected) but the atmosphere was great. The Christmas decorations were beautiful and the performances were fabulous.
The fireworks were spectacular.
We only visited for 3 days, and didn't manage to see everything. I suppose if you went during quieter times it would've been possible.
The rides for younger children are great and they have loads of them.
Food is quite expensive for what it is (mainly fast food). They do have other places to eat but it was out of our budget.
We are planning a visit again soon and we can't wait to get there :)"
"Enjoyed Our Time, But Remember It’s Not Orlando!","Came here in November and the first thing that struck me was how busy it was, considering it was school term time. We enjoyed it and managed to get everything done in a day. We loved Space Mountain. Having done Florida a few times I would definitely say this is on a smaller scale, price for price I think I would rather go to the states. The firework show was really good with various songs/movies being projected onto the castle. Prices for food and drink inside the park are of course are expensive but there is no restriction on bringing your own, also small back packs were allowed on the rides including Space Mountain. Tip buy your tickets online and not at the gate you will save a fortune!!! One park One day admission was €107!!!"
"Recommend multiple days, busy even in off-season","We were not expecting the crowds at Disneyland Paris in October that we found. The lines do not move fast and many rides do not accommodate many riders, so plan accordingly. Our plan was to do both parks in one day, not a reality and we missed many attractions due to this one day plan. They also repair many rides during the off season. This all said, we loved the park. The atmosphere is different from the American theme parks, the buildings are french and a multi-cultural experience. The cast members are helpful. Skip Chef Remy - big disappointment in food quality and service - plus the time and slow service. Better to grab the same or better food from quick service. Make sure you explore the castle, this is one Disney park that has attractions and adventures in the castle. Enjoy - this place will put a smile on your face."
One of the happiest places to visit - Disney Land,"Disneyland is truly the happiest place on earth for me. I can’t imagine not going to Disney just because I’m not a child anymore or dont have kids to take. Even better for me without kids.
I have always been a Disney person, from watching the animated films, reading books, it's just a form of escapism for me. I have visited Disney World Orlando several times, with my son and on my own. I have made so many amazing memories at the parks and it brings me back to my childhood. I can never tire of it and guess I would be pushing a Zimmer frame in old age going around the parks. Disneyland Paris though not as big as the ones in America is still very good and as exciting. Good for all the family. One of my happy places on earth."
Charming Visit at Christmas,"The decorations, parades,flowers and lights were perfectly made for Christmas season.
We took the RER from CDG-Etoille to DLP.
We had our tickets printed at home and had no problems scanning it at the gates or at the fast pass machines.
We arrived by 9:30, they let us in a little earlier. We started with Hollywood studio park. Crush's coaster, fast-pass for Ratatouille , where we met the characters and had fun . Then we left to go to Park 2 . We played Hyper-Space mountain, Star Tours and Buzz light year. Then we headed to Frontier-land to play the Big Thunder Mountain and to get on the big sailing ship. Afterwards, we played the Pirates of the Caribbean and finally at Fantasyland we played it's a small world.
The Christmas Parade was unmissable ! The songs, colors and everything was perfect. Afterwards we loved the All Characters parade followed by the greatest lighting of the Christmas tree and finally the big famous Disney Illumination Show.
The weather was a bit cold , the rain was very very light that you can't feel it and it didn't last long as well.
The Wifi connection was good. The application was very helpful.
I had visited Disneyland before in May 2018. It was not as perfect as it was in Christmas season."
Magical place at Christmas.,We have been here on many occasions before but this was the first time at Christmas Time. Main Street was beautifully decorated with massive Christmas tree and decorations and a snow machine which blew out snow from above at various times to make a fab effect. As ever the park has great rides for all ages and during the day there is two Christmas themed parades. A truly Great place to visit at Christmas.
5 Stars only for Cedric,"Went to Disneyland last week for my 18th...thoroughly enjoyed all the rides. However, my experience was completed by two of the actors on the Hollywood Tower of Terror. I’d like to give a shout out to Cedric and Marine for their acting that exceeded exceptions and left me wanting more. I think both deserve a pay rise...my experience would not have been the same without them!"
Terrible,"If you want a Disney experience do not go to Disneyland paris, save up and go to Florida. Both parks are dated, they feel old and look old. The cast members are rude, lazy and pretend they dont speak English. The Disney village is tired and boring not worth the time. This Christmas stuff was ok but not mind blowing."
Was a real letdown,"Went to Disneyland this week and felt really disappointed there was not rides for teenagers rock n roller had been taken down, space mountain was shut, have a 15,13,8 all mixed age groups I found there was nothing for teens.
I visited Disneyland a few years ago were the characters walked around the park this was so much more fun then booking appointments to see them.
I found the whole park had not changed since we first went at that was 2006 Definitely needs more and new rides and go back to letting the characters walk around the park again it was so much more magical."
"It’s Disneyland, what’s not to love?","I’ve been here many times over the years growing up and brought my girlfriend as a surprise this year for her first time and my first time in 10+ years.
We both loved it, there’s entertainment across the two parks for everyone if all ages. It’s just such a great time and there’s no experience like walking through the main gates and hearing the music and being immersed in the Disney magic!
It is expensive, all the merch and food is expensive, but which theme park isn’t?
It also gets busy, so have an idea of what you want to do the day you’re there and use the apps wisely!"
Fun Day,"The best family park in Europe where tou can spend your fun time with all members of families and friends.
Amazing attraction, games and shows"
Magical but expensive,"First this is Disneyland - so who couldn't enjoy the atmosphere and even more so heading towards Christmas time. The Christmas parade was beautiful and the lighting of of the Christmas tree spectacular. We spent 2 days in fantasy land.
We stayed at the explorers hotel - rooms were basic but comfortable. Lots for kids to do when you're not in the parks. The free shuttle service was excellent - find out where you're to pick the shuttle up - the pick up and drop off were in one place but we had to go to a different 'bus stop' from where we were dropped off. Worth checking so you're not rushing at the end of the day- with tired feet and tired kids!
But the queues!
Not many street vendors so you are pushed to go into restaurants- the queues are ridiculous- waiting an hour for lunch!
We waited an hour to see 1 princess and that was a good waiting time - when came out it was up to 2 hours. But for us an hour that was worth it.
Money money money but be funny...
For anyone who has been to Paris before - it's expensive but Disneyland takes that to another level. €80 for a kids Elsa dress up outfit (£33 back in Disney store in the UK!) - and yes we did get stung - we promised our little one she could buy an outfit - we couldn't go back on it! All the costumes were similar price!
On the second day - now feeling skint! We found a McDonald's for lunch - you have to come out the park (but easy to get back in) it's behind planet Hollywood - near rainforest cafe - similar price to back home. Ok so not the fine dining experience that you may expect in paris but quicker and cheaper than the ones inside the park.
And ask - if you've not been before speak to other families in the hotel or on the shuttle - best way to get top tips. After all you don't want your stresses to ruin the day.
Did we have a good time- of course we did and would defo come back but just be prepared to spend more than you planned."
Amazinggg!!!,"I love Disneyland Paris. It was my third time visiting but my first time visiting when there were the Christmas decorations and it was magical. A bit annoying is all the queues to certain rides and some people putting their phones up when there is a parade. However, that has nothing to do with the park as such. It's amazing and I dare say that it is a must visit at least once in your life."
Just as good as Florida,"A lot of people said to me that this place wouldn't be as good because I had been to America and to be honest, I was pleasantly surprised with how good it was. Of course it isn't as big as Florida and maybe there arent as many rides for the big kids but children would definitely enjoy it just as much and my partner and I enjoyed it, the big kids that we are.
I would recommend coming off season and during the weekday as we managed to get around everything in one day.
Coming without a bag makes life much easier.
Also, we have a system, you start at the back of the park, then work your way forward, we found that everyone runs onto the rides right at the front making the lines huge but the ones at the back we literally walked through to the end. Do that!
Seeing Disney characters you have to book in advance. Luckily we got a space to see Jack which was a nice surprise from the boyfriend.
Overall, I had a really good time here. I would tell people to not think down on it because it's not an american Disney. Just as good"
Definitely go for Christmas,"The theming at this time of year is amazing - from the beautiful decorations to the fabulous themed snacks. Its just a magical time to visit and really gets you in the festive spirit. The Christmas parade and tree lighting ceremony are amazing - and the snow down main street is fab.
I wish there was a few more Christmas themed meet and greets but jack skellington and santa stitch were super cute!"
Magical,"We have just returned, we had the most amazing time and have made memories that will last forever! All of the rides, parades and shows are perfect. All the staff were so friendly and helpful!"
"Lower your expectations if you've been to Disneyland, Disney Cruise, Disneyworld, Aulani","The grounds were well decorated for Christmas. The parade was pretty festive. However, for us and our spoiled kids, Disneyland Paris just did not compare to Disney in the U.S. The clerks at the stores and restaurants were definitely missing the Disney Magic. Some of the stores cashiers, not all, just seemed indiferent and lacked the same friendliness we are used to. We are still glad we went as our girls are still at that perfect age (5 and 7) but I'm not sure I'd bother if you've been to the other Disneys and your children are older."
Think twice these points before you go,"I do not recommend anybody due to following rational reasons: (our kids were 4 years old daughter and 8 years old boy during the visit)
1- Very expensive. We paid 410 USd for family of four with the highest price class. The other two cheap classes are not realistic to benefit from because it is only school days in when the kids can not technically come. Most of the alternatives in Europe is just half price at most
2- Beside the Frozen and Mickey Mouse none of characters are known by the kids of today’s. So it is old fashioned. 10 years ago it could be interesting but now there are plenty of better options in many countries.
3-The car park was 30 eur and 1.2 km away from the main entry which makes you walk 15 minutes * 2 = Half an hour just for reaching the gates. Add the possible que in the cashiers too In Germany for instance most of them are free of charge or max just 7 Eur.
4- It is too big! Not optional for kids who are easily bored with walking one point to another.
5- we preferred a rainy November day just to avoid the queues but apparently we were not the only stupids: Almost every attraction was requiring minimum 60 minutes in the queue although it was not the most popular time like summer! Imagine you are with 2 kids who is bored, hungry and multiply with other parents! I have never seen a single happy kid inside!!! We just spent 1 hour to shake Mickey’s hand
6-There are too less seats in the restaurants inside so everyone is running first inside to make an appointment with lunch time. I understood why when I saw the long lines in just to grab a seat when it is noon time. Very frustrating to be have to wait in another line when you are hungry and tired
7- The staff inside is generally insisting on speaking in French and it is really annoying. I get used to this weird attitude and insistence of people in France but not also in a US company which charged me USD instead of EUR!?! It is an international place, come on...
7- Except the night parade and some shops inside, there is nothing amazing. All toys are not better than regular amusement park.
8- It is one hour drive from Paris (still they charge car park as Champs Elyse price!!!)
9-Most of the guests are coming just due to prestigious (!) “once in a lifetime” sickness. Everybody seems more interested with Selfies! If you are one of those blind guys attracted by an American PR, then just go for it...
My kids are quite patent, we could even spent 4 hours in Louvre Museum with them a day ago but for the first time they wanted to leave an amusement park in the middle of a day!?! They are quite health kids, believe me It is not they but Disneyland.
So... Long story short: Most of your friends are not telling the truth whatever the reason is but I am now: The king is complete naked!!!
It is a clear money trap. The only kid to be happy for visit is Disney Junior!If you have plenty of , just spread over there (with a hotel package and couple of days which is pretty much a small fortune!)"
What a blast,"We spent 5 days at this park while staying at the Newport Bay Club Hotel. The days were really busy, especially with the late Illuminations show during summer. The park was not too busy, but of course, there were queues at the more popular rides.
Our entire family (with children aged 5 to 10) really enjoyed everything, and we arrived every day as the park opened for Extra Magic time, and left after Illuminations, with few breaks. We especially loved the roller coasters, with Big Thunder Mountajn Railroad perhaps being the family favorite.
We would love to go back, but distance and cost might force us to stay local for a while!"
Magical,"The best place in the world, where everyone can be himself and not be judged by how silly you’re being. My 2 year old loved the parade and kept waving at everyone, and most of the characters came up to her. Simply magical. Some rides are good for her age too :)"
One day visit for family,"We visited Disneyland 20th Nov 2019.
On arrival we exited our bus and followed the crowds to what we thought was the Disneyland gates but was actually Disney Studios, luckily we realised this just inside and where able to change our tickets at the ticketing booth for new ones and headed to the correct entrance. When we were getting new tickets a number of people had done the same thing. So don’t make this mistake.
Once in Disney it is a magical place, as it was mid week and heading into winter numbers were down, but this meant a few restaurants not open so those that were open were very busy. The park itself is very clean and very well presented.
Young kids enjoyed the small world ride, then a great ride for everyone was the Pirates of the Caribbean.
Make sure you catch one of the parades with the Disney characters.
On this Pirates ride we could see a really cool restaurant along the ride, but later found out you needed to book ahead. So book ahead for a great food option.
It was cold in Nov so rug up as hard to get out of the breeze.
Kids had a great day, we spent 6 hours in the park and left as the sun was dropping and so was the temperature.
Food & merchandise is expensive, but that’s to be expected.
We could not find anywhere comfortable to eat so ate outside the gates at Planet Hollywood once we exited. A great feed.
This was our last day of three weeks in France, we were use to the polite courteous French during this time, getting to Disney woke us up again to the hurry many other countries feel the need to do.
Remember to relax and enjoy your day."
Christmas,"Had a lovely time. Park is lovely and clean. I was wary about the staff on reading other reviews but I found them all to be nice. The staff on the tower of terror ride were hilarious especially the man who shakes the chains while people are lining up. It is a lot smaller than what I imagined it to be, but it suited my children as there was less walking to do. There is a lot of shops it’s hard not to want to buy everything but you need a lot of money as everything seems almost double the price for the same things from Disneystore in the uk. They need more places to eat and more options of food. There is only so much chips/ hotdogs and fizzy drinks we could tolerate. Parades and fireworks are fantastic. My tip is to go to crushes coaster first and the queue for this ride gets very long very fast, they don’t have a fast pass option for this ride. Thanks for a great holiday Disneyland"
Loved it!,"Had such a great time. So magical with all Xmas decorations now up.
Lots of helpful staff, queue times good, parks clean and well kept.
Cons: had our pram taken. Food TERRIBLE not enough areas to sit and have a hot choc or cuppa to rest and recuperate before next thrill.
Special mention to Jamel in City Hall who went over and above to help us once our buggy went missing."
Our annual visit,Spent the week for the beginning of the Christmas festivities. Was busy but not to bad. The weather was not kind to us. But we managed to see a lot of characters. Not all the characters have photographers but the cast members are happy to take photos for you. You can purchase a Disney photo pass for €75 and the photographer will scan you card and they will appear on your app for you to print at home. Used the fast pass to get in the rides. Make sure you try a Mickey shaped cookie.
"Lovely on the whole, definitely different from US parks!","We chose to visit on a weekday, with the help of the Disney website's crowd level forcaster which certainly helped, but the poor weather shortened our stay (worst hail storm these Californians had ever seen was on it's way in, we wanted to be on the train back to our hotel before it it!). The parts we experienced were great, and the things we disliked (attitudes of some parents/children) were the same that we run into in the US parks, so that was no surprise. We found that all employees we ran into spoke English which was very nice, and we loved the shopping options. If you are a fan of the Hyperspace Mountain ride (especially the Anaheim version, which we thought prior to this was the best one), please please please do yourself a favor and leave time for one, or maybe three trips on the Paris version of Hyperspace Mountain. It was sooooo much better than the other versions we have ridden in Anaheim and Orlando! Really enjoyed the Phantom Manor (aka Haunted Mansion) and the Pirates of the Caribbean.
Be forewarned if you plan to take the RER A train station to the park on a weekday, during typical commute hours the train is INSANELY busy. I have never been in a train that crowded. This was one other reason we were glad to shorten our stay at the park to leave prior to commute hours on the return trip, in addition to the weather."
Nice experience,"If you expect a lot of roler-coasters, you’ll be disappointed. This park is not for a fun like that, but anyway, it is worth visiting. Everything is so nice and you really become a part of Disney world for a moment. They pay attention to details, so it’s like you are in real fairytale. Must see is a fireworks at the closing, don’t miss that."
Small but not bad,"The park is doable in less than a day and the attractions are similar to the ones in Orlando. It was crowded even when it was low season and Parisian rain almost never stopped.
The prices are excessive, the personnel of the park not nice (even when most of them are not french... and even when I do speak it!)
They shall offer Fast Pass system as is in Orlando"
The most magical place in the world,"What can I say, it’s Disney! Had the most magical time with my family. Met loads of the characters we have watched through the years. The fireworks and parade are a must see! Will look to come back in 2020. Only recommendation for this time, is to save plenty of saving money, as I will want to purchase the whole shop!"
Amazing but....,"Amazing experience but too small for me since I have been to the one in the USA. But all and all clean and very nice. Should go with kids and stay till the parade which is amazing also. Food and drinks are kinda of expensive but not the great in quality. Should go early and get passes for the big attractions. Don’t miss the buzz light year, Star Wars, thunder mountain, and the pirates. Have a great time."
Not sure,I have been to Disneyland in LA and Orlando. I visited this one and my opinion this one is so so . I didn't fell the same magic of Disneyland and the place and the rides were not the same. Maybe it was just me but I was bit disappointed from this Disneyland Park in Europe.
Good,"Pretty good Disney experience, but not as magical as Disneyworld in Florida. This park and the Studios next door take 2 days, max."
Amazing,"Great place to go, no matter what age. Smaller than florida and california but still really great. This park has great rides for big and small people. Staff are nice. But the only problem was queuing. Very busy but they can't help that. Xx decently recommend it"
Family of 3 visit,"Absolutely magical with the xmas theme in the park, parades and illuminations amazing. We had the dream pass /fast pass which is a must if staying in the park. Food isnt great in the parks and quite expensive. Large mcdonalds in the Disney Village was ok. Stay away from Annette's Diner extremely poor couldn't care less service. The fast pass is a must!"
Felt ripped iff,"Came to Disneyland Paris for a few nights. Very disappointed to see so many rides closed. They still want you to pay full price for a ticket, when not able to offer the full complement of rides. No fast passes available the one day. Won’t be returning in a hurry. Extortionate food and drink prices, Christmas market in the village a total joke. This is my fourth and last visit here."
Disappointed...,"We’ve been to Disneyland Paris a few times over the years and generally have had good experiences. However, the same cannot be said for this time. We were lucky enough to go to Walt Disney World this summer (August 2019) and had an amazing time there. The cast members cannot do enough for you there but not so in DLP. I hated having to use an app to book to see some characters as if I want to see a character, I like to be able to queue s and not have to be in the park early enough to try and get a time slot. Unfortunately, we were unsuccessful using the app and missed out on seeing some characters. We went to queue to see Jack Skellington as the app wasn’t working for him but we were told at 4:10pm that the queue was closed as he had to leave at 5pm, when it said in the programme that he would be able to be seen until 5pm. To me that means you can queue up until 5pm and then the queue would be shut. My daughter started crying and the cast members eventually took pity on her and let us join the queue and then closed it again at 4:20pm. However, people with the green disability pass we’re allowed to enter their queue after the queue was closed to the general public. I found that very unfair as the queue should be closed to everyone if they’re going to close it early. We wanted to go and complain but there was a massive queue to get into City Hall. Generally I just found people to be really rude, especially at the parade time, with a lot of pushing and shoving from behind. We won’t be rushing back and would prefer to save for WDW."
Disappointing Visit to Disneyland Paris,"We visited Disneyland Paris as a birthday treat for our 10-yearlong son. During our seven hours stay, we managed 3 rides. Average queuing time stated 60 minutes, though in practice the waits were longer. I guess you come to expect this at theme parks if you’re not paying the exorbitant extra for Fast Track, but given the weather was bitterly cold, one would have expected some form of heating to keep the punters warm whilst they waited for their ride. Not so, we queued and queued and queued and slowly but surely our body temperatures dropped. Thoughts of Earnest Shackleton came to mind as our fingers and toes became numb, but at least Shackleton had the luxury of movement, we were hemmed in like cattle to the slaughter. By the time we eventually made it on to our ride, the will to live had all but deserted us and any thrill factor was severely tempered by the fear of pending frostbite.
So, with extremities now painfully cold, we headed for the nearest cafe in the hope of hot coffee and food, oh, but wait a minute, was that another queue we see? Yep, people are queuing outside to get into the cafe. Resolute, we soldiered on in search of somewhere less busy, but alas, our search was in vain, everywhere was ridiculously busy. Desperate for nourishment and a warming drink, we resolved to join yet another queue and 30 minutes later we were served. But, wait a minute, how much are the hot dogs? Seriously, 9 euros each! So, were the “best hot dogs outside the USA” really that good? Well, no actually, they were pretty awful and the coffee was cold and insipid. To add insult to injury, there were no seats, so, we had to walk back out into the bitingly cold weather. Over priced, fast food in hand, we searched desperately for for somewhere to rest and eat. Eventually we joined a group of fellow visitors, huddled on the floor in a complex of shops - not ideal but slightly warmer than outside!!
Despite an essentially awful day, our son put on a brave face and tried to hide his disappointment, after all, he’d only been waiting six months for his dream trip to Disneyland and when all said and done, the experience was, to put it mildly, a disappointment.
All I can say is, Disneyland, you can do better! People pay a lot of money to get into your theme park and we expect much better. Allowing more people than you seem able to cope with is a recipe for disaster, and believe me, there were far too many people. Then, once you’ve achieved packing in as many people as possible, you rip them off by charging ridiculous money for poor standard food. On top of that, you allow your visitors to freeze whilst queuing to go on rides.
In short, Disneyland Paris, care less about maximising your profit and more about giving people a truly good time, that they will cherish and remember fondly for years to come. We will definitely remember our Disneyland experience, but, I’m sad to say, for all the wrong reasons."
Magical,"I can not describe in words this place and I’m not even a fan of rides !
The costumes and details are great everyone everywhere is in character!
Really clean
Although frightfully expensive is take a packed lunch next time . The Disneyland app is great and works well
The parade and illuminations are must see activities"
Go out of season on a week day....,"Had 3 day hopper ticket, stayed in a Disney hotel (group booking, so got reasonable price) got in park early on a Friday morning for the ‘magic hour’. Made good use out of it, getting on the big rides before the queues built up. Managed to ‘do’ the whole park in the day. It wasn’t busy and the longest queue was only around 30 mins. The illuminations were amazing, and there were fireworks around the lake in the village after and they were also great. Saturday was much busier and queues were between 60 - 85 minutes, and it seemed some of the rides (Peter Pan, small world etc) were sped up to keep queues down, so after waiting for ages, you were rushed through the ride. The fast path tickets were all gone by around 11am. Sunday was madness, there are more hotel rooms than there is space in the parks, which made the magic hour pointless as queues built up even before the park was open to the general public, and, a new ‘Marvel’ hotel is being built. Queue times were 80 min + for most rides. Lots of kids looking miserable as they were fed up of waiting. The parades are worth a watch, but, you can be trapped for the duration if you stand in the wrong place. There are lots of shops selling the same stuff, go in one and you have been in them all. Restaurants are massively expensive. Alton Towers, Chessington and Thorpe Park have better rides, and you get more bang for your buck. If you want to go to Disney, save up and go to Florida.. Paris is a poor relation."
Holiday,We had a lovely time lots to see and do and most rides were working was lovely to see the park ready for Christmas with decs and also day of the dead decs better system of meet and greets we was unable to book into seeing the princesses and Mickey Mouse a soft play area would be lovely for little ones to be able to have a run around in safety
Daughters Birthday,We came to the park over 2 days and the park is lovely. The parade and fireworks display was amazing. The ques were quite bad for a lot of rides and also to meet the characters. We used the early pass with staying at a Disney hotel which was definitely worth while! All I would say is not many BIG rides for older kids or adults which I thought there would be! Overall great visit and would return for sure
Brillant once in a lifetime experience,Celebrated our sons birthday absolutely spotless park was amazing would recommend it to anyone only downside was food a bit pricey
Too many bad points to give 5/5,"We had an enjoyable trip here, we had a 3 day ticket for both parks and felt there wasn’t enough to fill the time to we repeated some of the rides.
Disneyland is just magical and amazing so we would return but Florida is 10x better.
I list some bad points below which were annoying and would have made my rating 5/5 if they were fixed.
Bad points:
- The cast members do not compare to those in Florida. They made the holiday memorable in Florida but here Some of them were just rude here.
- While we were on 5 different rides they broke down and we had to be evacuated.
- The app didn’t display all the shows and parades happening which meant we missed the 2 daytime parades and a show in videopolis.
- Queue time on the Saturday was crazy! Do not visit on a Saturday unless you have to. It was an extra hour atleast on every ride.
- So many people walking round with selfie sticks despite the ban and relentless reminders over the park tannoys.
- So many people smoking around the park despite the ban and relentless reminders over the park tannoys. This wasn’t ideal as I’m pregnant and spent a lot of time dodging people’s smoke.
- Reservations for Plaza Gardens and Billy Bobs restaurants are pointless because you end up having to wait in the queue with people who haven’t booked!"
