Review_name,Review_Content,Classifier
Charming Visit at Christmas,"The decorations, parades,flowers and lights were perfectly made for Christmas season.
We took the RER from CDG-Etoille to DLP.
We had our tickets printed at home and had no problems scanning it at the gates or at the fast pass machines.
We arrived by 9:30, they let us in a little earlier. We started with Hollywood studio park. Crush's coaster, fast-pass for Ratatouille , where we met the characters and had fun . Then we left to go to Park 2 . We played Hyper-Space mountain, Star Tours and Buzz light year. Then we headed to Frontier-land to play the Big Thunder Mountain and to get on the big sailing ship. Afterwards, we played the Pirates of the Caribbean and finally at Fantasyland we played it's a small world.
The Christmas Parade was unmissable ! The songs, colors and everything was perfect. Afterwards we loved the All Characters parade followed by the greatest lighting of the Christmas tree and finally the big famous Disney Illumination Show.
The weather was a bit cold , the rain was very very light that you can't feel it and it didn't last long as well.
The Wifi connection was good. The application was very helpful.
I had visited Disneyland before in May 2018. It was not as perfect as it was in Christmas season.",Positive
Magical place at Christmas.,We have been here on many occasions before but this was the first time at Christmas Time. Main Street was beautifully decorated with massive Christmas tree and decorations and a snow machine which blew out snow from above at various times to make a fab effect. As ever the park has great rides for all ages and during the day there is two Christmas themed parades. A truly Great place to visit at Christmas.,Positive
5 Stars only for Cedric,"Went to Disneyland last week for my 18th...thoroughly enjoyed all the rides. However, my experience was completed by two of the actors on the Hollywood Tower of Terror. I’d like to give a shout out to Cedric and Marine for their acting that exceeded exceptions and left me wanting more. I think both deserve a pay rise...my experience would not have been the same without them!",Positive
Terrible,"If you want a Disney experience do not go to Disneyland paris, save up and go to Florida. Both parks are dated, they feel old and look old. The cast members are rude, lazy and pretend they dont speak English. The Disney village is tired and boring not worth the time. This Christmas stuff was ok but not mind blowing.",Negative
Was a real letdown,"Went to Disneyland this week and felt really disappointed there was not rides for teenagers rock n roller had been taken down, space mountain was shut, have a 15,13,8 all mixed age groups I found there was nothing for teens.
I visited Disneyland a few years ago were the characters walked around the park this was so much more fun then booking appointments to see them.
I found the whole park had not changed since we first went at that was 2006 Definitely needs more and new rides and go back to letting the characters walk around the park again it was so much more magical.",Negative
"It’s Disneyland, what’s not to love?","I’ve been here many times over the years growing up and brought my girlfriend as a surprise this year for her first time and my first time in 10+ years.
We both loved it, there’s entertainment across the two parks for everyone if all ages. It’s just such a great time and there’s no experience like walking through the main gates and hearing the music and being immersed in the Disney magic!
It is expensive, all the merch and food is expensive, but which theme park isn’t?
It also gets busy, so have an idea of what you want to do the day you’re there and use the apps wisely!",Neutral
Fun Day,"The best family park in Europe where tou can spend your fun time with all members of families and friends.
Amazing attraction, games and shows",Positive
Magical but expensive,"First this is Disneyland - so who couldn't enjoy the atmosphere and even more so heading towards Christmas time. The Christmas parade was beautiful and the lighting of of the Christmas tree spectacular. We spent 2 days in fantasy land.
We stayed at the explorers hotel - rooms were basic but comfortable. Lots for kids to do when you're not in the parks. The free shuttle service was excellent - find out where you're to pick the shuttle up - the pick up and drop off were in one place but we had to go to a different 'bus stop' from where we were dropped off. Worth checking so you're not rushing at the end of the day- with tired feet and tired kids!
But the queues!
Not many street vendors so you are pushed to go into restaurants- the queues are ridiculous- waiting an hour for lunch!
We waited an hour to see 1 princess and that was a good waiting time - when came out it was up to 2 hours. But for us an hour that was worth it.
Money money money but be funny...
For anyone who has been to Paris before - it's expensive but Disneyland takes that to another level. €80 for a kids Elsa dress up outfit (£33 back in Disney store in the UK!) - and yes we did get stung - we promised our little one she could buy an outfit - we couldn't go back on it! All the costumes were similar price!
On the second day - now feeling skint! We found a McDonald's for lunch - you have to come out the park (but easy to get back in) it's behind planet Hollywood - near rainforest cafe - similar price to back home. Ok so not the fine dining experience that you may expect in paris but quicker and cheaper than the ones inside the park.
And ask - if you've not been before speak to other families in the hotel or on the shuttle - best way to get top tips. After all you don't want your stresses to ruin the day.
Did we have a good time- of course we did and would defo come back but just be prepared to spend more than you planned.",Neutral
Amazinggg!!!,"I love Disneyland Paris. It was my third time visiting but my first time visiting when there were the Christmas decorations and it was magical. A bit annoying is all the queues to certain rides and some people putting their phones up when there is a parade. However, that has nothing to do with the park as such. It's amazing and I dare say that it is a must visit at least once in your life.",Positive
Just as good as Florida,"A lot of people said to me that this place wouldn't be as good because I had been to America and to be honest, I was pleasantly surprised with how good it was. Of course it isn't as big as Florida and maybe there arent as many rides for the big kids but children would definitely enjoy it just as much and my partner and I enjoyed it, the big kids that we are.
I would recommend coming off season and during the weekday as we managed to get around everything in one day.
Coming without a bag makes life much easier.
Also, we have a system, you start at the back of the park, then work your way forward, we found that everyone runs onto the rides right at the front making the lines huge but the ones at the back we literally walked through to the end. Do that!
Seeing Disney characters you have to book in advance. Luckily we got a space to see Jack which was a nice surprise from the boyfriend.
Overall, I had a really good time here. I would tell people to not think down on it because it's not an american Disney. Just as good",Positive
Definitely go for Christmas,"The theming at this time of year is amazing - from the beautiful decorations to the fabulous themed snacks. Its just a magical time to visit and really gets you in the festive spirit. The Christmas parade and tree lighting ceremony are amazing - and the snow down main street is fab.
I wish there was a few more Christmas themed meet and greets but jack skellington and santa stitch were super cute!",Positive
Magical,"We have just returned, we had the most amazing time and have made memories that will last forever! All of the rides, parades and shows are perfect. All the staff were so friendly and helpful!",Positive
